,Overall,Izzet Phoenix,Azorius Control,Rakdos Demons,Selesnya Company,Enigmatic Incarnation,Mono Black Demons,Lotus Field Combo,Green Devotion,Mardu Greasefang,Rakdos Midrange,Abzan Greasefang,Domain Zur,Azorius Spirits,5 Color Niv-Mizzet,Azorius Lotus Field,Boros Tokens Control,Jund Sacrifice,Azorius Humans,Mono White Humans,Rakdos Transmogrify,Rakdos Prowess,Orzhov Demons,Quintorius Combo,Boros Burn,Dimir Ninjas,Esper Control,5 Color Landfall,Mono Black,Red Deck Wins,Izzet Creativity,Atarka Red,Golgari Midrange,
Dimir Faeries,4,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
Orzhov Reanimator,80,98,0,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Orzhov Reanimator,75,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Reanimator,4,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selesnya Kona,86,98,0,0,0,98,0,98,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Selesnya Kona,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Selesnya Kona,4,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Azorius Flyers,90,98,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Azorius Flyers,33,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Azorius Flyers,3,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Orzhov Yorion,90,98,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Orzhov Yorion,33,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Yorion,3,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Bant Control,90,98,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bant Control,33,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Bant Control,3,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Orzhov Waste Not,90,0,98,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Orzhov Waste Not,33,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Waste Not,3,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Azorius Helix,90,98,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Azorius Helix,67,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Azorius Helix,3,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Mardu Midrange,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mardu Midrange,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mardu Midrange,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakdos Madness,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,
Rakdos Madness,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Rakdos Madness,2,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Esper Humans,84,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Esper Humans,100,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Esper Humans,2,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
Golgari Deathtouch,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,
Golgari Deathtouch,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,
Golgari Deathtouch,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Izzet Phoenix,Azorius Control,Rakdos Demons,Selesnya Company,Enigmatic Incarnation,Mono Black Demons,Lotus Field Combo,Green Devotion,Mardu Greasefang,Rakdos Midrange,Abzan Greasefang,Domain Zur,Azorius Spirits,5 Color Niv-Mizzet,Azorius Lotus Field,Boros Tokens Control,Jund Sacrifice,Azorius Humans,Mono White Humans,Rakdos Transmogrify,Rakdos Prowess,Orzhov Demons,Quintorius Combo,Boros Burn,Dimir Ninjas,Esper Control,5 Color Landfall,Mono Black,Red Deck Wins,Izzet Creativity,Atarka Red,Golgari Midrange,,
Izzet Phoenix,48% - 52%,46% - 54%,51% - 62%,42% - 54%,38% - 50%,37% - 50%,35% - 50%,28% - 47%,42% - 61%,52% - 71%,47% - 69%,46% - 70%,30% - 51%,57% - 79%,29% - 59%,33% - 59%,21% - 51%,41% - 74%,30% - 63%,35% - 67%,55% - 86%,38% - 67%,34% - 66%,33% - 82%,3% - 36%,31% - 66%,16% - 62%,41% - 85%,28% - 72%,32% - 77%,32% - 86%,11% - 69%,44% - 97%,4
,50%,50%,56%,48%,44%,44%,43%,37%,52%,62%,58%,58%,40%,68%,44%,46%,35%,58%,46%,51%,72%,53%,50%,59%,14%,48%,37%,65%,50%,55%,62%,36%,80%,50
,"3,481 matches",604 matches,353 matches,283 matches,281 matches,225 matches,183 matches,113 matches,118 matches,111 matches,84 matches,72 matches,85 matches,73 matches,48 matches,61 matches,43 matches,38 matches,39 matches,43 matches,36 matches,49 matches,40 matches,17 matches,21 matches,33 matches,19 matches,20 matches,22 matches,20 matches,13 matches,11 matches,10 matches,3481
Azorius Control,48% - 52%,38% - 49%,45% - 55%,37% - 57%,36% - 53%,58% - 73%,31% - 50%,35% - 56%,32% - 55%,28% - 64%,53% - 75%,34% - 55%,23% - 66%,26% - 57%,49% - 81%,11% - 41%,42% - 66%,53% - 83%,13% - 59%,33% - 67%,28% - 59%,48% - 84%,11% - 69%,45% - 92%,4% - 78%,7% - 65%,20% - 70%,8% - 55%,49% - 91%,16% - 84%,5% - 51%,14% - 79%,19% - 81%,4
,50%,44%,50%,47%,44%,66%,40%,45%,43%,45%,64%,44%,43%,40%,67%,24%,54%,70%,33%,50%,43%,68%,36%,73%,33%,30%,44%,27%,74%,50%,21%,44%,50%,50
,"2,454 matches",353 matches,402 matches,111 matches,135 matches,187 matches,107 matches,88 matches,79 matches,33 matches,76 matches,88 matches,23 matches,42 matches,36 matches,34 matches,70 matches,40 matches,18 matches,38 matches,44 matches,28 matches,11 matches,15 matches,6 matches,10 matches,16 matches,15 matches,19 matches,8 matches,14 matches,9 matches,10 matches,2454
Rakdos Demons,50% - 55%,46% - 58%,43% - 63%,44% - 56%,50% - 64%,33% - 56%,42% - 65%,42% - 69%,43% - 77%,45% - 68%,44% - 97%,35% - 93%,31% - 52%,28% - 77%,43% - 77%,33% - 70%,29% - 96%,19% - 75%,34% - 62%,11% - 69%,30% - 80%,15% - 95%,28% - 69%,9% - 61%,32% - 68%,20% - 67%,16% - 68%,1% - 81%,1% - 99%,46% - 95%,42% - 100%,48% - 100%,5% - 85%,5
,53%,52%,53%,50%,57%,44%,53%,56%,61%,56%,80%,70%,41%,53%,61%,52%,71%,46%,48%,36%,56%,60%,48%,31%,50%,42%,40%,25%,50%,77%,86%,100%,40%,53
,"1,755 matches",283 matches,111 matches,271 matches,203 matches,75 matches,77 matches,59 matches,36 matches,78 matches,10 matches,10 matches,92 matches,17 matches,36 matches,31 matches,7 matches,13 matches,54 matches,11 matches,16 matches,5 matches,25 matches,13 matches,32 matches,19 matches,15 matches,4 matches,2 matches,13 matches,7 matches,5 matches,5 matches,1755
Selesnya Company,48% - 53%,50% - 62%,47% - 64%,36% - 50%,41% - 59%,28% - 48%,30% - 51%,54% - 81%,38% - 68%,30% - 53%,30% - 74%,48% - 86%,31% - 58%,27% - 73%,19% - 51%,17% - 56%,35% - 87%,18% - 71%,54% - 94%,41% - 87%,28% - 77%,46% - 95%,23% - 68%,19% - 81%,41% - 87%,24% - 71%,31% - 89%,4% - 78%,18% - 90%,14% - 79%,1% - 81%,5% - 85%,29% - 100%,5
,50%,56%,56%,43%,50%,38%,40%,69%,53%,41%,52%,69%,44%,50%,33%,35%,64%,43%,79%,67%,53%,77%,45%,50%,67%,47%,64%,33%,57%,44%,25%,40%,100%,50
,"1,668 matches",281 matches,135 matches,203 matches,136 matches,103 matches,85 matches,48 matches,47 matches,78 matches,21 matches,26 matches,57 matches,20 matches,36 matches,26 matches,14 matches,14 matches,19 matches,18 matches,17 matches,13 matches,20 matches,10 matches,18 matches,19 matches,11 matches,6 matches,7 matches,9 matches,4 matches,5 matches,3 matches,1668
Enigmatic Incarnation,48% - 53%,50% - 63%,27% - 42%,44% - 67%,52% - 72%,41% - 59%,57% - 78%,9% - 29%,35% - 63%,24% - 57%,52% - 80%,32% - 64%,46% - 88%,28% - 62%,34% - 78%,6% - 48%,33% - 73%,39% - 80%,10% - 56%,15% - 54%,36% - 83%,25% - 81%,23% - 83%,15% - 72%,19% - 81%,1% - 91%,29% - 96%,22% - 69%,16% - 84%,18% - 90%,12% - 74%,16% - 100%,19% - 99%,5
,50%,56%,34%,56%,62%,50%,68%,17%,49%,39%,67%,48%,70%,44%,57%,22%,54%,61%,29%,32%,61%,54%,55%,42%,50%,33%,71%,44%,50%,57%,40%,100%,75%,50
,"1,524 matches",225 matches,187 matches,75 matches,103 matches,128 matches,84 matches,64 matches,53 matches,38 matches,49 matches,40 matches,20 matches,36 matches,21 matches,18 matches,26 matches,23 matches,17 matches,25 matches,18 matches,13 matches,11 matches,12 matches,10 matches,3 matches,7 matches,18 matches,8 matches,7 matches,10 matches,2 matches,4 matches,1524
Mono Black Demons,50% - 56%,50% - 65%,50% - 69%,35% - 58%,49% - 70%,22% - 43%,39% - 61%,34% - 64%,31% - 66%,31% - 61%,44% - 78%,39% - 79%,17% - 59%,26% - 74%,41% - 83%,45% - 84%,22% - 96%,36% - 100%,15% - 59%,23% - 83%,35% - 93%,9% - 99%,29% - 82%,0% - 64%,1% - 99%,0% - 84%,17% - 77%,15% - 95%,36% - 100%,15% - 95%,22% - 96%,0% - 98%,22% - 96%,6
,53%,57%,60%,47%,60%,32%,50%,49%,48%,46%,62%,60%,36%,50%,64%,67%,67%,83%,35%,55%,70%,67%,57%,17%,50%,0%,45%,60%,83%,60%,67%,0%,67%,53
,"1,110 matches",183 matches,107 matches,77 matches,85 matches,84 matches,90 matches,45 matches,33 matches,48 matches,34 matches,25 matches,22 matches,18 matches,22 matches,24 matches,6 matches,6 matches,20 matches,11 matches,10 matches,3 matches,14 matches,6 matches,2 matches,2 matches,11 matches,5 matches,6 matches,5 matches,6 matches,1 matches,6 matches,1110
Lotus Field Combo,49% - 56%,53% - 72%,44% - 65%,31% - 58%,19% - 46%,71% - 91%,36% - 66%,32% - 68%,39% - 78%,18% - 62%,11% - 52%,22% - 66%,39% - 94%,23% - 83%,7% - 93%,35% - 93%,48% - 98%,23% - 83%,2% - 52%,4% - 71%,7% - 93%,0% - 53%,12% - 88%,15% - 95%,0% - 64%,7% - 93%,28% - 99%,29% - 96%,1% - 91%,1% - 81%,3% - 60%,1% - 91%,1% - 99%,7
,53%,63%,55%,44%,31%,83%,51%,50%,59%,38%,29%,43%,73%,55%,50%,70%,82%,55%,18%,29%,50%,13%,50%,60%,17%,50%,80%,71%,33%,25%,22%,33%,50%,53
,759 matches,113 matches,88 matches,59 matches,48 matches,64 matches,45 matches,34 matches,27 matches,21 matches,21 matches,21 matches,11 matches,11 matches,4 matches,10 matches,11 matches,11 matches,11 matches,7 matches,4 matches,8 matches,6 matches,5 matches,6 matches,4 matches,5 matches,7 matches,3 matches,4 matches,9 matches,3 matches,2 matches,759
Green Devotion,46% - 53%,39% - 58%,45% - 68%,23% - 57%,32% - 62%,37% - 65%,34% - 69%,22% - 61%,31% - 69%,21% - 79%,30% - 67%,33% - 73%,4% - 71%,20% - 70%,21% - 79%,4% - 78%,18% - 71%,30% - 93%,12% - 88%,21% - 79%,28% - 85%,26% - 88%,19% - 99%,1% - 81%,1% - 81%,1% - 72%,2% - 100%,9% - 99%,19% - 99%,1% - 91%,1% - 81%,16% - 100%,2% - 100%,7
,49%,48%,57%,39%,47%,51%,52%,41%,50%,50%,48%,54%,29%,44%,50%,33%,43%,67%,50%,50%,58%,60%,75%,25%,25%,20%,100%,67%,75%,33%,25%,100%,100%,49
,711 matches,118 matches,79 matches,36 matches,47 matches,53 matches,33 matches,27 matches,30 matches,12 matches,31 matches,26 matches,7 matches,16 matches,12 matches,6 matches,14 matches,9 matches,6 matches,12 matches,12 matches,10 matches,4 matches,4 matches,4 matches,5 matches,1 matches,3 matches,4 matches,3 matches,4 matches,2 matches,1 matches,711
Mardu Greasefang,47% - 54%,29% - 48%,36% - 72%,32% - 55%,47% - 70%,43% - 76%,39% - 69%,38% - 82%,21% - 79%,33% - 67%,16% - 84%,15% - 95%,54% - 100%,23% - 83%,16% - 84%,35% - 85%,19% - 99%,0% - 64%,15% - 72%,7% - 93%,22% - 96%,0% - 84%,23% - 68%,1% - 81%,0% - 53%,10% - 82%,16% - 100%,1% - 99%,1% - 91%,0% - 98%,0% - 84%,2% - 100%,1% - 99%,7
,51%,38%,55%,44%,59%,61%,54%,62%,50%,50%,50%,60%,100%,55%,50%,63%,75%,17%,42%,50%,67%,0%,45%,25%,13%,43%,100%,50%,33%,0%,0%,100%,50%,51
,658 matches,111 matches,33 matches,78 matches,78 matches,38 matches,48 matches,21 matches,12 matches,38 matches,8 matches,5 matches,6 matches,11 matches,8 matches,16 matches,4 matches,6 matches,12 matches,4 matches,6 matches,2 matches,20 matches,4 matches,8 matches,7 matches,2 matches,2 matches,3 matches,1 matches,2 matches,1 matches,2 matches,658
Rakdos Midrange,40% - 48%,31% - 53%,25% - 47%,3% - 56%,26% - 70%,20% - 48%,22% - 56%,48% - 89%,33% - 70%,16% - 84%,31% - 69%,14% - 55%,12% - 88%,11% - 69%,5% - 54%,9% - 76%,18% - 71%,29% - 82%,16% - 100%,25% - 81%,23% - 83%,63% - 100%,0% - 84%,3% - 60%,16% - 100%,--,1% - 99%,1% - 91%,5% - 85%,1% - 99%,5% - 85%,18% - 90%,--,8
,44%,42%,36%,20%,48%,33%,38%,71%,52%,50%,50%,32%,50%,36%,23%,38%,43%,57%,100%,54%,55%,100%,0%,22%,100%,,50%,33%,40%,50%,40%,57%,,44
,588 matches,84 matches,76 matches,10 matches,21 matches,49 matches,34 matches,21 matches,31 matches,8 matches,28 matches,22 matches,6 matches,11 matches,13 matches,8 matches,14 matches,14 matches,2 matches,13 matches,11 matches,8 matches,2 matches,9 matches,2 matches,,2 matches,3 matches,5 matches,2 matches,5 matches,7 matches,,588
Abzan Greasefang,44% - 52%,30% - 54%,45% - 66%,7% - 65%,14% - 52%,36% - 68%,21% - 61%,34% - 78%,27% - 67%,5% - 85%,45% - 86%,30% - 70%,15% - 95%,0% - 45%,12% - 74%,15% - 72%,3% - 65%,49% - 91%,12% - 88%,23% - 77%,9% - 76%,12% - 88%,2% - 100%,1% - 99%,1% - 99%,1% - 99%,1% - 99%,29% - 96%,40% - 100%,1% - 99%,7% - 93%,1% - 99%,--,8
,48%,42%,56%,30%,31%,53%,40%,57%,46%,40%,68%,50%,60%,10%,40%,42%,25%,74%,50%,50%,38%,50%,100%,50%,50%,50%,50%,71%,100%,50%,50%,50%,,48
,553 matches,72 matches,88 matches,10 matches,26 matches,40 matches,25 matches,21 matches,26 matches,5 matches,22 matches,26 matches,5 matches,10 matches,10 matches,12 matches,8 matches,19 matches,6 matches,14 matches,8 matches,6 matches,1 matches,2 matches,2 matches,2 matches,2 matches,7 matches,4 matches,2 matches,4 matches,2 matches,,553
Domain Zur,48% - 57%,49% - 70%,34% - 77%,48% - 69%,42% - 69%,12% - 54%,41% - 83%,6% - 61%,29% - 96%,0% - 46%,12% - 88%,5% - 85%,30% - 70%,16% - 100%,15% - 95%,0% - 64%,--,0% - 60%,7% - 70%,1% - 91%,15% - 95%,2% - 100%,26% - 88%,1% - 91%,0% - 98%,7% - 93%,15% - 95%,--,--,16% - 100%,9% - 99%,0% - 84%,2% - 100%,9
,53%,60%,57%,59%,56%,30%,64%,27%,71%,0%,50%,40%,50%,100%,60%,17%,,0%,33%,33%,60%,100%,60%,33%,0%,50%,60%,,,100%,67%,0%,100%,53
,466 matches,85 matches,23 matches,92 matches,57 matches,20 matches,22 matches,11 matches,7 matches,6 matches,6 matches,5 matches,26 matches,2 matches,5 matches,6 matches,,4 matches,9 matches,3 matches,5 matches,1 matches,10 matches,3 matches,1 matches,4 matches,5 matches,,,2 matches,3 matches,2 matches,1 matches,466
Azorius Spirits,42% - 53%,21% - 43%,43% - 74%,23% - 72%,27% - 73%,38% - 72%,26% - 74%,17% - 77%,30% - 80%,17% - 77%,31% - 89%,55% - 100%,0% - 84%,1% - 99%,10% - 82%,0% - 84%,0% - 45%,10% - 82%,16% - 100%,5% - 85%,10% - 82%,23% - 83%,0% - 98%,19% - 99%,--,0% - 60%,19% - 99%,0% - 84%,1% - 91%,9% - 99%,0% - 98%,16% - 100%,9% - 99%,11
,47%,32%,60%,47%,50%,56%,50%,45%,56%,45%,64%,90%,0%,50%,43%,0%,10%,43%,100%,40%,43%,55%,0%,75%,,0%,75%,0%,33%,67%,0%,100%,67%,47
,394 matches,73 matches,42 matches,17 matches,20 matches,36 matches,18 matches,11 matches,16 matches,11 matches,11 matches,10 matches,2 matches,2 matches,7 matches,2 matches,10 matches,7 matches,2 matches,5 matches,7 matches,11 matches,1 matches,4 matches,,4 matches,4 matches,2 matches,3 matches,3 matches,1 matches,2 matches,3 matches,394
5 Color Niv-Mizzet,44% - 55%,41% - 71%,19% - 51%,23% - 57%,49% - 81%,22% - 66%,17% - 59%,7% - 93%,21% - 79%,16% - 84%,46% - 95%,26% - 88%,5% - 85%,18% - 90%,19% - 81%,12% - 88%,9% - 76%,21% - 86%,21% - 86%,29% - 100%,0% - 98%,1% - 81%,0% - 98%,19% - 99%,2% - 100%,0% - 98%,1% - 99%,1% - 99%,0% - 98%,19% - 99%,--,--,--,11
,50%,56%,33%,39%,67%,43%,36%,50%,50%,50%,77%,60%,40%,57%,50%,50%,38%,56%,56%,100%,0%,25%,0%,75%,100%,0%,50%,50%,0%,75%,,,,50
,354 matches,48 matches,36 matches,36 matches,36 matches,21 matches,22 matches,4 matches,12 matches,8 matches,13 matches,10 matches,5 matches,7 matches,10 matches,6 matches,8 matches,9 matches,9 matches,3 matches,1 matches,4 matches,1 matches,4 matches,1 matches,1 matches,2 matches,2 matches,1 matches,4 matches,,,,354
Azorius Lotus Field,50% - 60%,41% - 67%,59% - 89%,30% - 67%,44% - 83%,52% - 94%,16% - 55%,7% - 65%,22% - 96%,15% - 65%,24% - 91%,28% - 85%,36% - 100%,16% - 100%,12% - 88%,16% - 84%,9% - 99%,1% - 81%,1% - 81%,0% - 71%,0% - 71%,2% - 100%,12% - 88%,1% - 99%,1% - 99%,7% - 93%,1% - 99%,0% - 98%,19% - 99%,1% - 99%,1% - 99%,--,7% - 93%,10
,55%,54%,76%,48%,65%,78%,33%,30%,67%,38%,63%,58%,83%,100%,50%,50%,67%,25%,25%,0%,0%,100%,50%,50%,50%,50%,50%,0%,75%,50%,50%,,50%,55
,346 matches,61 matches,34 matches,31 matches,26 matches,18 matches,24 matches,10 matches,6 matches,16 matches,8 matches,12 matches,6 matches,2 matches,6 matches,8 matches,3 matches,4 matches,4 matches,3 matches,3 matches,1 matches,6 matches,2 matches,2 matches,4 matches,2 matches,1 matches,4 matches,2 matches,2 matches,,4 matches,346
Boros Tokens Control,46% - 57%,49% - 79%,34% - 58%,4% - 71%,13% - 65%,27% - 67%,4% - 78%,2% - 52%,29% - 82%,1% - 81%,29% - 82%,35% - 97%,--,55% - 100%,24% - 91%,1% - 91%,21% - 79%,9% - 99%,1% - 81%,35% - 97%,5% - 85%,29% - 100%,--,0% - 71%,9% - 99%,--,0% - 98%,4% - 78%,9% - 99%,1% - 91%,--,2% - 100%,2% - 100%,11
,51%,65%,46%,29%,36%,46%,33%,18%,57%,25%,57%,75%,,90%,63%,33%,50%,67%,25%,75%,40%,100%,,0%,67%,,0%,33%,67%,33%,,100%,100%,51
,336 matches,43 matches,70 matches,7 matches,14 matches,26 matches,6 matches,11 matches,14 matches,4 matches,14 matches,8 matches,,10 matches,8 matches,3 matches,12 matches,3 matches,4 matches,8 matches,5 matches,3 matches,,3 matches,3 matches,,1 matches,6 matches,3 matches,3 matches,,1 matches,1 matches,336
Jund Sacrifice,37% - 48%,26% - 59%,17% - 47%,25% - 81%,29% - 82%,20% - 61%,0% - 64%,17% - 77%,7% - 70%,36% - 100%,18% - 71%,9% - 51%,40% - 100%,18% - 90%,14% - 79%,19% - 99%,1% - 91%,16% - 84%,1% - 72%,0% - 64%,7% - 93%,12% - 88%,9% - 99%,16% - 100%,16% - 100%,0% - 71%,--,0% - 98%,1% - 91%,2% - 100%,1% - 99%,0% - 98%,0% - 98%,11
,43%,42%,30%,54%,57%,39%,17%,45%,33%,83%,43%,26%,100%,57%,44%,75%,33%,50%,20%,17%,50%,50%,67%,100%,100%,0%,,0%,33%,100%,50%,0%,0%,43
,298 matches,38 matches,40 matches,13 matches,14 matches,23 matches,6 matches,11 matches,9 matches,6 matches,14 matches,19 matches,4 matches,7 matches,9 matches,4 matches,3 matches,8 matches,5 matches,6 matches,4 matches,6 matches,3 matches,2 matches,2 matches,3 matches,,1 matches,3 matches,1 matches,2 matches,1 matches,1 matches,298
Azorius Humans,52% - 63%,37% - 70%,41% - 87%,38% - 66%,6% - 46%,44% - 90%,41% - 85%,48% - 98%,12% - 88%,28% - 85%,0% - 84%,12% - 88%,30% - 93%,0% - 84%,14% - 79%,19% - 99%,19% - 99%,28% - 99%,1% - 99%,9% - 99%,29% - 96%,2% - 100%,22% - 96%,16% - 100%,0% - 98%,5% - 85%,2% - 100%,--,--,9% - 99%,2% - 100%,--,--,11
,58%,54%,67%,52%,21%,71%,65%,82%,50%,58%,0%,50%,67%,0%,44%,75%,75%,80%,50%,67%,71%,100%,67%,100%,0%,40%,100%,,,67%,100%,,,58
,295 matches,39 matches,18 matches,54 matches,19 matches,17 matches,20 matches,11 matches,6 matches,12 matches,2 matches,6 matches,9 matches,2 matches,9 matches,4 matches,4 matches,5 matches,2 matches,3 matches,7 matches,1 matches,6 matches,2 matches,1 matches,5 matches,1 matches,,,3 matches,1 matches,,,295
Mono White Humans,47% - 59%,33% - 65%,33% - 67%,31% - 89%,13% - 59%,46% - 85%,17% - 77%,29% - 96%,21% - 79%,7% - 93%,19% - 75%,23% - 77%,9% - 99%,15% - 95%,0% - 71%,29% - 100%,3% - 65%,36% - 100%,1% - 91%,7% - 93%,1% - 91%,12% - 88%,0% - 98%,28% - 99%,2% - 100%,--,1% - 81%,16% - 100%,2% - 100%,1% - 99%,2% - 100%,--,2% - 100%,12
,53%,49%,50%,64%,33%,68%,45%,71%,50%,50%,46%,50%,67%,60%,0%,100%,25%,83%,33%,50%,33%,50%,0%,80%,100%,,25%,100%,100%,50%,100%,,100%,53
,282 matches,43 matches,38 matches,11 matches,18 matches,25 matches,11 matches,7 matches,12 matches,4 matches,13 matches,14 matches,3 matches,5 matches,3 matches,3 matches,8 matches,6 matches,3 matches,4 matches,3 matches,6 matches,1 matches,5 matches,1 matches,,4 matches,2 matches,1 matches,2 matches,1 matches,,1 matches,282
Rakdos Transmogrify,40% - 53%,14% - 45%,41% - 72%,20% - 70%,23% - 72%,17% - 64%,7% - 65%,7% - 93%,15% - 72%,4% - 78%,17% - 77%,24% - 91%,5% - 85%,18% - 90%,2% - 100%,29% - 100%,15% - 95%,7% - 93%,4% - 71%,9% - 99%,12% - 88%,2% - 100%,9% - 99%,7% - 93%,0% - 84%,0% - 98%,--,16% - 100%,--,9% - 99%,--,--,--,13
,46%,28%,57%,44%,47%,39%,30%,50%,42%,33%,45%,63%,40%,57%,100%,100%,60%,50%,29%,67%,50%,100%,67%,50%,0%,0%,,100%,,67%,,,,46
,269 matches,36 matches,44 matches,16 matches,17 matches,18 matches,10 matches,4 matches,12 matches,6 matches,11 matches,8 matches,5 matches,7 matches,1 matches,3 matches,5 matches,4 matches,7 matches,3 matches,6 matches,1 matches,3 matches,4 matches,2 matches,1 matches,,2 matches,,3 matches,,,,269
Rakdos Prowess,37% - 50%,33% - 62%,16% - 52%,5% - 85%,5% - 54%,19% - 75%,1% - 91%,47% - 100%,12% - 74%,16% - 100%,0% - 37%,12% - 88%,0% - 98%,17% - 77%,19% - 99%,0% - 98%,0% - 71%,12% - 88%,0% - 98%,12% - 88%,0% - 98%,16% - 84%,--,--,--,--,1% - 99%,2% - 100%,9% - 99%,2% - 100%,--,2% - 100%,16% - 100%,13
,43%,47%,32%,40%,23%,46%,33%,88%,40%,100%,0%,50%,0%,45%,75%,0%,0%,50%,0%,50%,0%,50%,,,,,50%,100%,67%,100%,,100%,100%,43
,221 matches,49 matches,28 matches,5 matches,13 matches,13 matches,3 matches,8 matches,10 matches,2 matches,8 matches,6 matches,1 matches,11 matches,4 matches,1 matches,3 matches,6 matches,1 matches,6 matches,1 matches,8 matches,,,,,2 matches,1 matches,3 matches,1 matches,,1 matches,2 matches,221
Orzhov Demons,46% - 60%,34% - 66%,31% - 89%,31% - 72%,32% - 77%,17% - 77%,18% - 71%,12% - 88%,1% - 81%,32% - 77%,16% - 100%,0% - 98%,12% - 74%,2% - 100%,2% - 100%,12% - 88%,--,1% - 91%,4% - 78%,2% - 100%,1% - 91%,--,1% - 99%,--,2% - 100%,2% - 100%,2% - 100%,2% - 100%,--,--,16% - 100%,2% - 100%,--,14
,53%,50%,64%,52%,55%,45%,43%,50%,25%,55%,100%,0%,40%,100%,100%,50%,,33%,33%,100%,33%,,50%,,100%,100%,100%,100%,,,100%,100%,,53
,205 matches,40 matches,11 matches,25 matches,20 matches,11 matches,14 matches,6 matches,4 matches,20 matches,2 matches,1 matches,10 matches,1 matches,1 matches,6 matches,,3 matches,6 matches,1 matches,3 matches,,2 matches,,1 matches,1 matches,1 matches,1 matches,,,2 matches,1 matches,,205
